timestamp,elapsed_s,shoulder_pan_deg,shoulder_pan_rad,shoulder_lift_deg,shoulder_lift_rad,elbow_flex_deg,elbow_flex_rad,wrist_flex_deg,wrist_flex_rad,wrist_roll_deg,wrist_roll_rad,gripper_deg,gripper_rad
2026-07-22 11:24:31.553,0.034,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:31.585,0.067,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:31.618,0.101,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:31.652,0.135,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:31.685,0.168,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:31.719,0.201,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:31.751,0.234,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:31.785,0.267,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:31.818,0.301,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:31.852,0.334,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:31.884,0.367,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:31.920,0.401,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:31.953,0.434,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:31.985,0.467,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.019,0.501,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.053,0.534,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.087,0.568,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.118,0.601,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.152,0.635,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.187,0.667,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.220,0.701,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.253,0.734,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.286,0.768,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.321,0.801,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.352,0.834,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.385,0.867,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.419,0.901,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.453,0.934,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.484,0.967,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.518,1.001,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.552,1.034,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.585,1.068,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.619,1.101,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.652,1.134,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.685,1.167,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.719,1.201,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.752,1.234,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.787,1.268,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.823,1.301,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.853,1.335,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.886,1.367,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.920,1.401,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.953,1.434,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:32.986,1.467,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:33.022,1.502,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:33.052,1.534,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:33.086,1.568,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:33.118,1.601,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:33.151,1.634,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:33.185,1.667,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:33.219,1.701,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:33.252,1.734,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:33.285,1.767,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:33.320,1.801,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:33.352,1.834,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
2026-07-22 11:24:33.385,1.867,176.57,3.081767,179.91,3.140059,180.26,3.146195,179.82,3.138525,174.46,3.044952,180.44,3.149263
